step 1	    0   inf   inf   inf   inf   inf   inf   inf   inf   inf   inf   inf 
step 2	    0     4   inf   inf   inf     3   inf     3     4   inf     1   inf 
step 3	    0     4     3   inf   inf     3     4     3     4     2     1   inf 
step 4	    0     4     3   inf   inf     3     4     3     4     2     1   inf 
step 5	    0     4     3   inf   inf     3     4     3     4     2     1     8 
step 6	    0     4     3     7   inf     3     4     3     4     2     1     4 
step 7	    0     4     3     4     6     3     4     3     4     2     1     4 
step 8	    0     4     3     4     6     3     4     3     4     2     1     4 
step 9	    0     4     3     4     6     3     4     3     4     2     1     4 
step 10	    0     4     3     4     6     3     4     3     4     2     1     4 
step 11	    0     4     3     4     6     3     4     3     4     2     1     4 
step 12	    0     4     3     4     6     3     4     3     4     2     1     4 
